gene,SRR12878708,SRR12878713,SRR12878714,SRR12878717,SRR12878718,SRR12878719
ACTN2,407,4,289,0,5,15
ACTN3,1,0,2,1,1,1
ACVR1,2479,105,1209,1,34,45
ACVR1B,507,29,179,15,43,50
ACVR2A,625,29,245,7,15,10
ACVR2B,656,21,315,19,16,36
ACVRL1,2606,414,1286,12,257,258
ACY1,2,4,3,0,0,2
ACYP1,28,6,32,2,29,1
ACYP2,90,29,101,1,0,8
ADA,94,23,29,6,26,33
ADAM8,232,80,8,3,8,5
ADAM10,5406,388,3671,9,118,129
ADAR,12387,884,8345,26,556,302
ADARB1,656,101,388,40,223,114
ADARB2,313,9,42,5,8,12
ADCY1,260,15,97,1,46,57
ADCY2,194,5,39,9,2,6
ADCY3,835,24,460,0,25,33
ADCY5,381,3,124,14,17,5
ADCY6,1018,48,515,5,122,84
ADCY7,1856,337,1251,9,12,16
ADCY8,38,7,6,32,52,65
ADCY9,2004,102,819,25,134,123
ADCYAP1,6,6,21,2,1,2
ADCYAP1R1,297,6,41,3,13,10
ADD1,10041,757,5577,35,580,491
ADD2,82,17,17,5,7,13
ADD3,1994,103,508,1,78,63
PLIN2,515,45,495,0,18,38
ADH1A,0,0,0,0,0,8
ADH1B,141,0,47,0,0,20
ADH1C,2,0,1,0,0,1
ADH4,1,0,0,0,0,2
ADH5,908,63,477,0,13,12
ADH6,2,14,0,0,0,1
ADH7,0,0,0,0,0,0
ADK,539,35,253,0,2,27
ADM,358,79,234,12,43,114
ADORA1,40,1,90,11,36,33
ADORA2A,11,0,0,0,0,0
ADORA2B,175,0,46,0,0,3
ADORA3,2077,137,1774,2,2,47
ADPRH,908,75,311,3,12,5
PARP1,3374,302,2102,13,155,124
PARP4,3109,429,2108,11,186,134
ADRA1D,2,2,5,5,19,15
ADRA1B,5,2,8,7,25,11
ADRA1A,21,8,7,2,3,2
ADRA2A,190,0,66,6,2,5
ADRA2B,35,13,4,1,0,3
ADRA2C,254,3,67,1,4,2
ADRB1,168,12,254,7,3,1
ADRB2,1435,77,787,1,5,2
ADRB3,0,0,0,37,0,7
GRK2,4423,446,2934,87,93,158
GRK3,1450,126,623,16,41,57
ADSL,766,36,537,0,58,36
ADSS2,248,45,172,1,85,8
AP2A1,1200,153,617,0,43,117
AP2A2,2743,228,1379,2,164,139
AP2A2,2743,228,1379,2,164,139
AP2A2,2743,228,1379,2,164,139
AP1B1,6378,587,4175,42,104,209
AP2B1,3462,230,1842,5,129,118
AP1G1,1824,131,1011,6,74,58
AEBP1,1227,81,904,4,75,83
TLE5,3153,267,1811,0,210,175
CRISP1,0,0,2,1,0,1
AFG3L1P,110,23,94,4,69,40
AFM,0,0,0,2,0,2
AFP,0,0,0,0,0,3
AGA,267,24,208,3,1,10
ACAN,13,3,15,6,0,39
AGER,46,2,35,0,22,11
AGER,46,2,35,0,22,11
AGER,46,2,35,0,22,11
AGER,46,2,35,0,22,11
AGER,46,2,35,0,22,11
AGER,46,2,35,0,22,11
AGER,46,2,35,0,22,11
AGL,745,77,527,1,27,14
AGRP,28,2,3,0,0,0
JAG1,5529,309,2624,5,367,330
AGT,761,0,295,1,1,3
AGTR1,43,0,10,0,4,3
AGTR2,0,0,0,0,0,0
APLNR,235,14,18,1,51,44
AGXT,0,0,0,0,0,1
NR0B1,0,0,0,0,0,1
AHCY,664,46,305,2,25,47
AHR,1052,216,706,2,153,112
AHSG,0,0,1,2,0,2
AIF1,4069,429,5228,16,22,142
AIF1,4069,429,5228,16,22,142
AIF1,4069,429,5228,16,22,142
AIF1,4069,429,5228,16,22,142
AIF1,4069,429,5228,16,22,142
AIF1,4069,429,5228,16,22,142
CRYBG1,671,132,407,5,80,55
AK1,367,40,307,0,23,17
AK2,747,75,374,0,53,38
AK4,114,15,39,29,16,23
AKT1,2265,235,1442,93,166,175
AKT2,625,91,314,7,64,80
ALAD,663,79,375,2,35,28
ALAS1,2019,110,872,2,30,40
ALAS2,15,0,12,1,0,1
ALB,6,2,0,10,4,2
ALCAM,715,107,517,19,17,21
ABCD1,541,75,269,5,79,65
ALDH1A1,994,19,387,0,60,28
ALDH2,3193,219,1970,2,52,30
ALDH3A1,6,0,14,0,1,2
ALDH1B1,398,46,195,5,0,14
ALDH1A3,85,5,15,0,6,15
ALDH3B1,364,63,132,37,4,6
ALDH3B2,34,0,11,2,1,1
ALDH9A1,2147,99,1164,1,99,74
ALDH3A2,637,47,349,1,22,17
ABCD2,99,3,20,0,0,1
ALDOA,6560,677,2827,61,195,346
ALDOB,18,7,1,0,0,3
ALDOC,1119,14,213,0,6,14
AKR1B1,612,83,297,0,22,35
ALK,9,0,1,5,2,18
ALOX12,83,21,46,0,6,16
ALOX5,1467,240,847,2,34,68
ALOX5,1467,240,847,2,34,68
ALOX5AP,1214,123,1253,0,11,7
ALOX12B,2,1,0,0,5,2
NA,0,3,0,0,1,0
ALOX12P2,14,0,3,10,0,19
ALOX15,6,0,1,3,8,0
ALOX15B,16,12,0,1,4,11
ALPI,0,0,0,0,0,0
ALPL,3205,657,1457,2,185,68
ALPP,0,0,0,1,0,0
ALPG,0,5,0,0,0,1
ALX3,88,6,26,3,0,0
AMBN,0,0,0,0,0,1
AMBP,2,0,0,0,0,0
AMD1,1518,67,832,1,19,57
AMELX,0,1,3,5,0,1
AMELY,0,0,0,0,0,0
AMFR,3024,130,1311,5,53,35
AMH,47,2,15,10,34,22
AMHR2,0,0,0,0,1,2
AMPD1,8,4,2,0,1,0
AMPD2,497,110,429,4,82,59
AMPD3,1159,105,545,16,20,18
AMPH,77,12,75,0,1,5
BIN1,5983,787,7170,8,32,108
AMT,139,8,64,0,34,11
AMY1A,0,0,0,1,0,0
AMY2A,11,8,4,0,0,0
AMY2B,360,18,230,0,23,13
ANG,23,0,42,0,0,0
ANGPT1,367,0,259,2,4,19
ANGPT2,331,220,268,12,524,684
ANK1,245,22,374,4,11,26
ANK2,804,28,295,30,6,16
ANK3,418,17,75,52,9,48
ANPEP,701,114,143,17,28,41
SLC25A4,434,32,279,4,5,8
SLC25A5,1135,78,622,3,9,94
SLC25A6,2,0,1,0,0,2
ANXA1,2069,296,1584,39,384,227
ANXA2,268,108,437,2,105,77
ANXA2P1,2,3,5,3,5,3
ANXA2P2,868,443,1603,8,209,375
ANXA2P3,1,3,3,0,3,5
ANXA3,1791,147,1190,1,13,8
ANXA4,637,63,231,12,21,22
ANXA5,5944,344,2308,0,143,317
ANXA6,1427,88,838,9,49,148
ANXA7,2307,188,1104,0,21,46
ANXA11,2689,371,1879,49,54,139
ANXA13,0,0,0,2,7,10
AOAH,2415,259,1808,0,0,1
AOC2,18,2,6,1,0,11
AOX1,26,1,20,3,0,3
APAF1,1526,163,769,20,60,18
NUDT2,147,17,108,0,15,14
APOF,1,1,3,6,3,0
APBA1,869,91,594,22,33,38
APBA1,869,91,594,22,33,38
APBA2,443,8,346,23,0,12
APBA2,443,8,346,23,0,12
APBB1,683,27,269,11,23,10
APBB2,3921,243,1894,8,307,307
APC,4629,246,1675,42,149,85
APCS,1,0,0,0,0,0
AIRE,0,9,2,3,1,2
APEH,623,64,392,2,10,23
APEX1,1355,103,1111,17,46,58
BIRC2,1145,79,761,2,27,56
BIRC3,511,30,651,0,18,8
XIAP,1409,140,793,5,61,71
BIRC5,0,1,6,2,9,14
APLP1,335,12,111,0,15,3
APLP2,22369,1445,19337,29,636,596
APOA1,10,1,9,0,1,1
APOA2,2,2,0,0,1,0
APOA4,0,0,0,0,3,2
APOB,6,3,12,2,8,31
APOBEC1,0,0,0,7,0,0
APOC1,1145,243,469,0,3,57
APOC1P1,43,0,11,0,0,1
AQP8,0,0,0,0,6,1
APOC2,16,0,11,0,0,0
APOC3,0,0,0,0,0,0
APOD,1344,50,526,2,23,78
APOE,17892,3010,14112,41,12,229
APOH,2,1,0,0,0,0
APP,22408,1341,14446,116,1610,1510
APRT,333,76,176,0,8,11
KLK3,0,0,0,0,0,2
FAS,367,51,160,0,25,21
FASLG,0,2,0,0,7,0
SHROOM2,3088,49,1140,10,166,76
AQP1,111,27,12,3,288,8
AQP2,1,0,0,1,8,5
AQP3,1,2,3,1,10,2
AQP4,1763,15,168,2,0,10
AQP5,0,0,0,0,5,1
AQP6,0,0,0,2,0,12
AQP7,27,0,19,0,4,2
AQP9,378,271,25,0,2,1
AR,195,127,180,467,602,465
ABCC6,76,4,46,3,0,4
ABCC6,76,4,46,3,0,4
ARAF,1147,76,588,9,38,46
ARCN1,4730,325,3213,4,156,194
TRIM23,492,17,217,0,68,7
AREG,16,0,8,0,0,5
ARF1,5554,504,2696,106,125,249
ARF3,3043,284,1648,34,42,132
ARF4,1027,64,462,1,30,39
ARL4D,96,22,33,32,0,1
ARF5,772,52,294,2,3,20
ARF6,3292,201,1585,37,45,127
ARG1,17,24,4,0,0,2
ARG2,274,58,107,13,0,5
RHOA,12844,966,7426,25,242,349
RHOB,22009,498,8429,15,575,544
RHOC,3503,250,1320,15,175,246
RND3,1778,103,1903,3,44,46
RHOG,980,193,571,0,12,11
ARHGAP1,1983,159,1169,21,17,60
ARHGAP4,1119,286,941,0,237,92
ARHGAP5,4612,219,1991,1,163,61
ARHGAP6,804,75,492,11,18,24
ARHGDIA,4129,500,2130,22,299,356
ARHGDIB,8189,1007,6650,88,146,464
ARHGDIG,0,0,0,0,0,0
RHOH,123,4,88,0,2,0
ARL1,1265,64,730,0,23,42
PHOX2A,0,0,0,0,2,5
ARL2,234,29,162,0,3,8
ARL3,563,31,326,0,20,14
ARNT,2593,147,1258,1,126,62
ARNTL,218,41,67,0,13,8
ARR3,4,5,20,1,11,2
ARRB1,2817,239,1362,41,170,106
ARRB2,2497,219,1565,1,14,47
ARSA,215,54,214,9,50,16
ARSB,525,55,403,2,24,45
STS,274,19,179,23,29,10
ARSD,1016,54,550,3,26,25
ARSL,177,0,60,0,0,13
ARSF,2,0,0,2,6,2
ART1,12,10,1,0,0,9
ART3,0,0,8,4,0,2
ART4,0,0,0,2,0,0
ARVCF,549,65,224,3,4,39
ASAH1,7573,512,4297,1,55,53
ASCL1,8,0,0,2,33,2
ASCL2,43,4,58,3,2,6
ASGR1,9,1,13,35,49,54
ASGR2,24,17,36,0,1,9
ASIP,14,0,14,0,0,5
ASL,504,59,161,0,32,19
ASMT,0,0,0,0,0,0
GET3,376,33,176,13,22,18
ASNS,102,19,60,11,15,1
ASPA,43,0,13,1,0,5
ASPH,2825,203,2614,6,269,167
ASS1,218,34,123,0,7,1
ASTN1,701,10,520,6,8,5
SERPINC1,0,0,3,0,0,2
ZFHX3,14786,4891,17143,17622,24493,28980
ATF1,549,51,360,0,6,21
ATF3,6050,67,8452,1,199,164
ATF4,2619,160,2207,23,266,210
ATIC,310,19,271,1,1,54
ATM,5174,622,4209,12,169,103
RERE,6115,430,4243,71,478,416
ATOH1,0,0,0,5,6,1
ATOX1,262,21,155,0,11,27
ATP1A1,2994,326,2079,2,351,218
ATP1A2,87692,334,16309,4,5,195
ATP1A3,71,0,47,9,3,2
ATP12A,8,1,1,2,13,20
ATP1A4,1008,14,197,6,7,21
ATP1B1,549,24,567,3,11,23
ATP1B2,4516,18,1078,2,4,24
ATP1B3,920,99,512,0,188,149
FXYD2,4,0,3,0,0,0
ATP2A1,8,0,11,1,4,3
ATP2A2,5189,387,2681,101,356,312
ATP2A3,704,192,571,4,176,42
ATP2B1,1926,162,1231,7,128,55
ATP2B2,166,13,94,15,1,13
ATP2B3,3,4,22,7,0,16
ATP2B4,2961,281,1899,42,241,148
ATP4A,2,0,2,8,7,2
ATP4B,0,0,0,5,9,7
ATP4B,0,0,0,5,9,7
ATP5F1A,3475,286,1915,1,57,100
ALDH7A1,284,22,137,7,19,5
ATP5F1B,3478,266,1519,1,75,53
ATP5F1C,984,76,601,2,12,35
ATP5F1D,1147,111,911,2,22,60
ATP5F1E,151,17,250,1,17,15
ATP5PB,711,73,402,0,13,39
ATP5MC1,59,4,49,0,2,6
ATP5MC2,531,53,342,0,8,21
ATP5MC3,454,38,262,4,8,31
ATP5ME,742,33,600,0,69,52
ATP5PF,684,59,588,9,23,30
ATP6V1A,1718,174,843,5,80,87
ATP6V1B1,8,5,0,4,5,10
ATP6V1B2,1881,249,1055,7,52,58
ATP6V0C,216,26,137,1,13,15
ATP6V1C1,1416,95,787,1,53,26
ATP6V1E1,771,32,384,0,12,36
ATP6V0B,739,38,374,0,21,7
ATP6V1G2,50,0,62,0,0,0
ATP6V1G2,50,0,62,0,0,0
ATP6V1G2,50,0,62,0,0,0
ATP6V1G2,50,0,62,0,0,0
ATP6V1G2,50,0,62,0,0,0
ATP6V1G2,50,0,62,0,0,0
ATP6V1G2,50,0,62,0,0,0
ATP6V0A1,1705,128,919,14,92,67
ATP6AP1,1745,131,935,1,39,41
ATP7A,1371,109,1151,0,19,16
ATP5PO,461,24,409,62,8,16
ATP7B,754,55,342,3,57,55
ATR,1387,116,851,11,74,81
ATRX,9581,858,6190,39,1022,542
KIF1A,1733,42,267,70,32,37
AUH,469,52,441,1,30,10
AUP1,796,110,676,1,81,58
AVP,0,1,0,1,0,0
AVPR1A,282,1,141,6,9,20
AVPR1B,0,1,0,2,0,1
AVPR2,14,13,13,16,6,0
AXL,6041,250,4188,3,2,100
AZGP1,0,0,0,3,1,0
AZU1,14,0,0,11,7,3
AZU1,14,0,0,11,7,3
B2M,53125,4542,32029,149,1374,1014
B2M,53125,4542,32029,149,1374,1014
BAAT,5,0,3,0,2,0
BAAT,5,0,3,0,2,0
BACH1,4729,347,2271,0,65,125
BAD,460,48,271,0,6,23
BAG1,1181,80,841,37,119,121
BAGE,0,3,0,0,0,0
ADGRB1,176,12,159,15,38,33
ADGRB2,171,6,68,1,2,8
ADGRB3,315,5,70,0,9,4
BAK1,75,21,57,0,10,6
NKX3-2,0,0,0,3,2,1
BARD1,499,15,180,1,16,19
BAX,131,65,153,1,18,34
BBS1,434,35,173,3,12,9
BBS2,827,40,325,0,45,30
BBS4,246,14,215,0,16,36
BCAT1,1697,81,1071,6,18,44
BCAT2,192,15,70,6,5,11
BCHE,6,1,0,0,5,0
BCKDHA,603,81,264,2,19,22
BCKDHB,372,11,225,0,0,10
CCND1,6139,266,3689,42,155,177
BCL2,689,65,286,1,19,1
BCL2A1,729,201,50,0,7,17
BCL2L1,1968,245,870,20,72,79
BCL2L2,672,38,318,3,44,36
BCL3,413,84,379,9,8,73
BCL6,1985,371,774,6,31,85
BCL7A,177,4,52,10,0,4
BCL7A,177,4,52,10,0,4
NBEAP1,10,4,1,3,4,4
BCL9,266,48,176,9,8,25
TNFRSF17,13,1,0,0,0,0
HCN2,503,10,90,83,164,181
OPN1SW,14,0,4,0,0,8
BCR,1698,175,964,7,593,207
BCS1L,155,22,126,7,28,15
BCYRN1,3,0,1,0,0,0
BDH1,124,24,59,34,1,0
BDH1,124,24,59,34,1,0
BDKRB1,2,0,8,0,21,1
BDKRB2,11,19,65,15,115,77
BDNF,6,2,7,3,4,11
CFB,1039,241,1375,15,46,89
CFB,1039,241,1375,15,46,89
CFB,1039,241,1375,15,46,89
CFB,1039,241,1375,15,46,89
CFB,1039,241,1375,15,46,89
CFB,1039,241,1375,15,46,89
CFB,1039,241,1375,15,46,89
BFSP1,93,10,68,0,21,11
BGLAP,0,0,2,0,0,0
BGN,5950,127,2116,50,190,296
CEACAM1,107,69,100,0,10,15
BHMT,4,0,0,6,2,7
BICD1,1280,81,600,3,175,92
BID,638,63,383,1,22,4
BIK,4,4,8,1,0,0
PRDM1,3091,86,2101,5,472,295
BLK,1,0,0,6,5,12
BLK,1,0,0,6,5,12
BLM,116,4,17,4,16,23
BLMH,720,66,428,5,59,58
CXCR5,2,1,2,0,10,3
BLVRA,576,44,411,0,56,73
BLVRB,407,37,254,0,1,20
BNC1,0,0,2,3,3,5
BMI1,145,4,98,0,6,4
BMP1,155,27,75,10,138,56
BMP2,164,5,133,1,6,7
BMP3,0,1,1,12,9,7
BMP4,35,21,23,1,10,4
BMP5,0,0,1,3,9,8
BMP6,599,102,435,5,30,10
BMP7,58,0,1,15,1,2
BMP8B,29,11,29,142,211,132
BMPR1A,356,5,220,12,3,9
BMPR1B,142,7,14,0,0,4
BMPR2,10980,3635,7788,4413,4605,5046
BMX,73,37,65,14,42,18
POLR3D,573,58,467,18,48,113
BNIP1,101,9,107,0,3,4
BNIP2,3253,211,2669,2,141,78
BNIP3,370,18,327,3,11,25
BNIP3L,3434,183,2362,20,74,123
BOK,232,31,109,0,11,9
DST,9596,1286,8765,21,1037,682
FOXL2,345,23,119,5,9,4
BPGM,371,30,228,1,44,19
BPHL,126,12,77,15,0,1
BPI,48,25,0,0,0,1
BRCA1,230,61,187,8,3,22
BRAF,607,41,338,1,47,19
BRCA2,267,9,140,0,33,21
BRDT,0,0,0,0,0,0
ZFP36L1,25213,1506,14661,135,940,593
ZFP36L2,6919,697,4545,6,95,83
BRS3,0,0,0,0,0,0
BSG,35831,848,13880,34,166,359
BST1,80,1,21,0,2,2
BST2,4431,376,4673,11,35,147
BTC,3,4,6,0,0,0
BTD,258,29,120,0,27,0
KLF9,2674,56,1979,3,101,150
KLF5,10,13,19,0,1,12
BTF3,1486,104,718,0,25,83
BTF3P11,0,1,0,0,0,0
BTG1,2807,314,1326,1,79,95
BTK,801,72,399,2,27,9
BTN1A1,6,0,1,1,0,11
BUB1,30,11,8,1,18,14
BUB1B,31,1,11,1,13,23
BYSL,126,16,30,1,9,22
TSPO,333,121,207,3,1,19
C1QBP,727,102,445,0,38,63
SERPING1,4232,340,3779,4,20,74
ERC2-IT1,0,0,0,0,0,8
C1QA,3268,622,2939,1,36,53
C1QB,10287,2086,9272,28,47,135
C1QC,11501,1300,7894,21,22,50
C1R,622,105,349,22,44,81
C1R,622,105,349,22,44,81
C1S,815,81,271,11,28,63
C2,515,9,239,2,0,6
C2,515,9,239,2,0,6
C2,515,9,239,2,0,6
C2,515,9,239,2,0,6
C2,515,9,239,2,0,6
C2,515,9,239,2,0,6
C2,515,9,239,2,0,6
C3,134623,9119,78419,37,24,97
C3AR1,2060,181,774,4,0,3
C4A,0,0,0,0,0,0
C4A,0,0,0,0,0,0
C4A,0,0,0,0,0,0
C4A,0,0,0,0,0,0
C4B,0,0,0,0,0,0
C4B,0,0,0,0,0,0
C4B,0,0,0,0,0,0
C4B,0,0,0,0,0,0
C4B,0,0,0,0,0,0
C4BPA,1,0,1,0,0,0
C4BPB,5,0,1,0,4,0
CAPN5,91,18,63,0,21,21
C5,147,16,49,0,0,4
C5AR1,1210,143,325,1,0,9
C6,0,1,0,2,0,8
C7,603,84,53,4,14,13
C8A,0,0,0,7,0,2
C8B,0,16,0,1,3,1
C8G,0,0,0,1,0,0
OSGIN2,460,20,326,3,3,22
C9,0,0,2,0,6,6
VPS51,1001,84,384,5,72,83
MRPL49,434,31,255,0,2,7
ZNHIT2,104,8,34,0,0,15
MPPED2,314,2,95,18,6,22
MYRF,190,2,19,19,26,18
TMEM258,177,16,160,1,19,2
DAGLA,265,20,104,3,1,7
GAS8-AS1,0,0,0,0,0,10
FMNL1,2298,354,1404,332,574,125
LDLRAD4,2900,203,1655,11,59,42
PTTG1IP,7515,570,4840,25,272,266
CFAP410,338,13,134,4,43,44
TMEM50B,1316,133,785,1,52,56
TMEM50B,1316,133,785,1,52,56
MPPED1,19,0,11,0,3,1
CA1,1,1,0,0,0,1
CA2,882,20,343,1,83,196
CA3,34,0,10,0,0,1
CA4,3748,18,987,1,0,6
CA5A,126,0,45,30,1,1
CA6,0,9,0,0,0,4
CA7,3,6,0,0,1,0
CA8,34,16,30,5,0,6
CA9,0,0,0,0,0,0
CA11,201,11,105,13,1,5
CA12,1,0,0,4,7,5
CACNA1A,277,43,241,3,3,19
CACNA1B,27,0,100,17,1,19
CACNA1C,1008,36,493,33,333,246
CACNA1C,1008,36,493,33,333,246
CACNA1D,321,58,178,8,3,8
CACNA1E,387,32,151,55,21,46
CACNA1F,9,2,15,2,4,3
CACNA1S,45,1,20,17,1,10
DDR1,297,39,294,22,5,20
DDR1,297,39,294,22,5,20
DDR1,297,39,294,22,5,20
DDR1,297,39,294,22,5,20
DDR1,297,39,294,22,5,20
DDR1,297,39,294,22,5,20
DDR1,297,39,294,22,5,20
CACNA2D1,282,31,177,2,29,14
CACNB1,92,10,77,3,10,11
CACNB2,338,9,72,3,10,23
CACNB3,111,31,63,1,31,26
CACNB4,825,6,439,3,0,12
CACNG1,5,0,3,3,0,2
SLC25A20,62,35,63,0,5,16
CAD,678,73,418,51,103,42
CALB1,0,0,6,17,0,0
CALB2,7,0,7,0,0,1
CALB2,7,0,7,0,0,1
S100G,18,0,0,0,0,0
CALCA,1,0,6,3,25,2
CALCB,0,0,0,0,5,7
CALCR,49,8,72,3,0,6
CALD1,19830,452,12541,41,1547,2281
CALM1,11746,528,5522,19,338,466
CALM2,2316,133,1292,9,17,23
CALM3,6420,344,3857,48,160,269
CALML3,0,0,0,14,0,0
CALR,17797,1419,11586,24,696,680
CALU,2588,195,2250,8,229,210
CAMK4,60,25,2,2,3,3
CAMK2A,841,2,101,36,5,5
CAMK2B,84,2,33,15,4,9
CAMK2D,1256,114,710,2,44,83
CAMK2G,1092,94,529,16,58,24
CAMLG,790,44,302,3,27,28
CAMP,42,2,0,0,2,0
CANX,18001,1155,13086,81,486,404
CANX,18001,1155,13086,81,486,404
CAPG,1640,127,890,2,23,117
CAPN1,1729,259,885,4,152,71
CAPN2,2812,278,1504,40,359,212
CAPN3,144,48,61,4,71,44
CAPNS1,2671,249,1341,35,134,161
CAPN6,0,0,0,1,0,1
CAPS,44,7,32,0,6,1
CAPZA1,1161,135,582,3,26,32
CAPZA2,2518,260,1492,0,48,87
CAST,2928,493,3747,21,205,282
CAPZB,7416,651,4466,3,86,216
CARS1,871,115,637,1,75,71
CARS1,871,115,637,1,75,71
CASP1,849,97,858,3,59,55
CASP2,565,42,252,1,21,30
CASP3,410,21,353,26,57,34
CASP4,645,164,366,1,121,104
CASP5,25,3,4,0,0,1
CASP6,195,22,122,0,10,2
CASP7,742,35,304,0,16,25
CASP8,517,108,325,1,12,45
CASP9,178,5,103,5,7,22
CASP10,2285,148,1254,1,221,85
CASQ1,8,4,0,0,0,3
CASQ2,216,8,210,0,2,3
CASR,0,6,5,12,1,3
CAT,1543,256,1094,1,19,56
CAV1,1545,76,1083,1,45,52
CAV2,1950,88,958,0,55,63
CAV3,0,0,0,0,0,0
RUNX2,867,103,600,5,20,9
RUNX1,2185,257,1053,32,38,101
RUNX1T1,1938,106,966,1,93,54
CBFA2T3,782,160,425,4,21,36
RUNX3,85,55,44,5,8,8
CBFB,768,125,500,27,42,42
SERPINA6,0,0,1,2,0,0
SERPINA6,0,0,1,2,0,0
CBL,2712,290,1547,104,217,127
CBLB,463,111,316,1,88,132
CBLN1,1,0,1,1,2,1
SERPINH1,2349,271,2352,10,223,209
CBR1,360,22,126,0,1,16
CBR3,99,2,43,0,8,3
CBS,100,10,43,12,1,9
CCIN,13,0,0,0,0,1
KYAT1,105,9,68,0,6,7
KYAT1,105,9,68,0,6,7
CCK,23,0,22,0,7,2
CCKAR,0,3,0,0,0,2
CCKBR,16,0,0,3,1,0
KRIT1,1105,91,812,1,124,56
CCNA2,6,4,2,0,1,2
CCNB1,90,1,34,0,15,29
CCNC,587,37,305,0,21,27
CCND2,3864,243,2206,3,82,115
CCND3,1211,174,459,7,34,48
CCNE1,8,2,28,0,6,8
CCNF,77,14,43,37,145,94
CCNG1,1141,112,554,0,58,32
CCNG2,968,72,507,2,11,33
CCNH,946,72,538,2,68,56
CCNT1,1063,82,763,30,51,59
CCNT2,796,117,618,1,97,63
CCT6A,1393,113,857,5,91,54
CD1A,0,0,0,0,0,13
CD1B,0,0,1,0,6,1
CD1C,21,7,5,7,0,0
CD1D,26,0,35,9,4,3
CD1E,0,0,0,0,16,2
CD2,15,10,5,0,0,2
CD3D,10,0,0,4,3,6
CD3E,60,53,3,1,3,3
CD3G,18,15,0,0,1,0
CD247,19,15,7,15,0,5
CD4,6035,381,4413,5,13,27
CD5,24,12,32,15,0,2
CD5L,3,0,2,10,1,7
CD6,12,0,17,0,3,6
CD7,67,35,32,0,0,2
CD8A,32,43,0,5,0,1
CD8B,17,20,1,1,0,0
CD9,1485,74,561,14,101,50
CD14,3507,462,1482,61,4,36
CD19,39,14,23,4,0,10
MS4A1,50,5,1,4,3,2
MS4A3,3,0,0,0,0,1
MS4A3,3,0,0,0,0,1
CD22,32,4,4,0,0,8
CD27,77,1,15,0,0,0
CD28,343,12,87,0,1,11
CD80,16,0,15,0,0,1
CD86,2322,112,2475,23,1,20
TNFRSF8,48,15,21,5,0,29
TNFSF8,341,25,381,0,10,3
CD33,473,39,354,1,5,1
SIGLEC6,8,0,0,0,0,2
CD34,5672,570,3073,4,356,250
CD36,1402,14,631,1,4,33
SCARB1,5206,124,2512,24,37,60
SCARB2,9319,395,5596,7,111,80
CD37,1906,229,1975,3,16,64
CD38,44,0,13,9,34,6
ENTPD1,4799,375,3556,6,535,178
ENTPD2,14,0,24,1,0,5
ENTPD6,420,76,385,4,41,28
ENTPD3,0,0,11,0,0,2
ENTPD5,154,27,69,0,10,9
CD40,381,49,196,3,60,13
CD40LG,14,8,6,1,1,1
CD44,3353,424,770,7,24,81
