gene,log2FoldChange,pvalue,padj
TMEM74B,4.782465307,1.01E-08,9.44E-07
IER3,-4.056337524,1.05E-08,9.78E-07
IER3,-4.056337524,1.05E-08,9.78E-07
IER3,-4.056337524,1.05E-08,9.78E-07
IER3,-4.056337524,1.05E-08,9.78E-07
IER3,-4.056337524,1.05E-08,9.78E-07
IER3,-4.056337524,1.05E-08,9.78E-07
KIAA0895L,5.040353419,1.09E-08,1.01E-06
SNORA53,-4.288915614,1.11E-08,1.03E-06
ANXA3,-3.450558868,1.21E-08,1.11E-06
POU3F2,5.039707767,1.28E-08,1.16E-06
TGFBR1,-3.578283451,1.31E-08,1.19E-06
DOCK10,-3.192279824,1.38E-08,1.25E-06
GJA10,9.633582337,1.46E-08,1.32E-06
GJA10,9.633582337,1.46E-08,1.32E-06
MARCHF11,7.994829086,1.50E-08,1.34E-06
SIGLEC10,-3.764845967,1.51E-08,1.34E-06
SSH1,3.568099465,1.52E-08,1.35E-06
MT1JP,9.329856834,1.53E-08,1.35E-06
PKD1L2,8.453114249,1.55E-08,1.36E-06
OR4D2,7.728950758,1.55E-08,1.36E-06
GLIPR1,-4.94992361,1.65E-08,1.43E-06
TRPM8,8.992989385,1.74E-08,1.50E-06
SP8,5.71776777,1.75E-08,1.51E-06
PDX1,8.046241229,1.79E-08,1.53E-06
FAM83F,8.461090955,1.81E-08,1.55E-06
FGF6,9.250282398,2.02E-08,1.72E-06
SLC6A4,5.861904139,2.10E-08,1.77E-06
GRM4,6.887095417,2.17E-08,1.83E-06
TLR6,-5.785517649,2.19E-08,1.83E-06
FGF9,7.65753131,2.29E-08,1.91E-06
COL23A1,6.556231117,2.31E-08,1.92E-06
NKX6-2,5.698708045,2.35E-08,1.94E-06
AK7,6.922722236,2.36E-08,1.94E-06
MIR4466,6.968417365,2.37E-08,1.95E-06
HAVCR2,-3.997709626,2.48E-08,2.02E-06
LINC01777,9.716868024,2.51E-08,2.04E-06
PAPPA2,6.282305243,2.56E-08,2.07E-06
TSNAXIP1,8.221986978,2.57E-08,2.07E-06
SCEL,9.387348429,2.58E-08,2.07E-06
GCKR,9.765065909,2.59E-08,2.07E-06
OR4D1,7.439755115,2.79E-08,2.21E-06
CPXM1,6.008372482,2.79E-08,2.21E-06
TAGAP,-4.494452709,2.83E-08,2.23E-06
MAB21L3,10.84975424,2.88E-08,2.26E-06
VAX1,10.6116748,2.89E-08,2.26E-06
MZT2A,3.608654962,3.02E-08,2.35E-06
RPP38-DT,10.32396294,3.17E-08,2.45E-06
ZFP36L2,-2.53529889,3.44E-08,2.66E-06
GDF11,4.679873802,3.68E-08,2.83E-06
STC2,5.804570114,3.87E-08,2.96E-06
SCN5A,6.914072073,4.41E-08,3.36E-06
PLEK2,6.740373996,4.45E-08,3.36E-06
ONECUT2,6.040340356,4.45E-08,3.36E-06
PADI2,-5.24695312,4.48E-08,3.37E-06
NAT16,9.170702526,4.74E-08,3.55E-06
CLRN2,10.8249117,4.84E-08,3.61E-06
XKRX,7.884550074,4.86E-08,3.61E-06
PLCB1,2.736111212,4.88E-08,3.61E-06
NA,11.07038756,4.96E-08,3.66E-06
LINC00664,7.429204264,5.15E-08,3.79E-06
EMILIN3,4.883903751,5.51E-08,4.03E-06
SAPCD2,5.277957745,6.55E-08,4.78E-06
RAB13,3.016051395,6.58E-08,4.78E-06
BAHCC1,2.258255224,6.72E-08,4.82E-06
FOXB2,7.348771865,6.74E-08,4.82E-06
CNKSR1,5.498881882,6.75E-08,4.82E-06
WNT3A,9.484262274,6.75E-08,4.82E-06
SNORD10,-4.34491646,6.80E-08,4.83E-06
REPS2,5.374769481,6.80E-08,4.83E-06
RASSF5,-3.456047121,7.00E-08,4.95E-06
ADCY4,3.42684167,7.14E-08,5.03E-06
ADCY4,3.42684167,7.14E-08,5.03E-06
LINC00940,10.17385476,7.42E-08,5.20E-06
LINC00940,10.17385476,7.42E-08,5.20E-06
ESPN,6.993408362,7.52E-08,5.25E-06
LINC02153,7.347628761,7.55E-08,5.25E-06
CTSB,-2.940751554,7.65E-08,5.31E-06
CTSB,-2.940751554,7.65E-08,5.31E-06
FAM163A,8.794890427,7.69E-08,5.31E-06
FAM163A,8.794890427,7.69E-08,5.31E-06
TIAM1,-2.966055331,7.89E-08,5.42E-06
MOV10L1,5.191096496,7.91E-08,5.42E-06
TBC1D17,3.350952081,8.02E-08,5.48E-06
IL13RA1,-3.230844432,8.68E-08,5.91E-06
FOXI2,9.724130962,8.74E-08,5.92E-06
CERS3,5.702093472,8.77E-08,5.93E-06
HOXD8,9.314082873,8.84E-08,5.95E-06
AMH,4.329578493,9.24E-08,6.18E-06
EVPL,9.078398314,9.25E-08,6.18E-06
GPR183,-7.436801249,9.48E-08,6.31E-06
SPEM2,9.274447407,9.56E-08,6.34E-06
SPEM2,9.274447407,9.56E-08,6.34E-06
ASAH1,-3.277910796,9.73E-08,6.43E-06
LINC00971,10.45090851,9.80E-08,6.46E-06
LINC00971,10.45090851,9.80E-08,6.46E-06
TMEM119,-3.905700625,9.92E-08,6.49E-06
GATM,-4.00212039,9.92E-08,6.49E-06
MIR320A,7.399244808,9.96E-08,6.49E-06
EPB41,-2.5305208,1.03E-07,6.70E-06
ONECUT3,8.473036403,1.04E-07,6.70E-06
HMGB3,5.331322636,1.05E-07,6.76E-06
RTN2,4.72477032,1.05E-07,6.76E-06
DOT1L,2.484186618,1.08E-07,6.90E-06
DNAAF8,4.9044171,1.08E-07,6.90E-06
MTA1,4.61615819,1.09E-07,6.90E-06
EPHA8,7.220323405,1.09E-07,6.90E-06
IHH,7.250716259,1.10E-07,6.94E-06
SPATA13,-2.520929536,1.11E-07,6.95E-06
SPATA13,-2.520929536,1.11E-07,6.95E-06
SPATA13,-2.520929536,1.11E-07,6.95E-06
CD53,-2.751681823,1.11E-07,6.95E-06
NLRP8,10.81024751,1.11E-07,6.95E-06
RNASET2,-3.718313554,1.11E-07,6.95E-06
ASPM,3.924537818,1.13E-07,7.00E-06
DCHS2,6.149283398,1.14E-07,7.05E-06
DCHS2,6.149283398,1.14E-07,7.05E-06
HAND2,9.066477929,1.16E-07,7.17E-06
LINC01016,10.79000874,1.22E-07,7.53E-06
HSPA1B,-3.619733001,1.25E-07,7.67E-06
HSPA1B,-3.619733001,1.25E-07,7.67E-06
HSPA1B,-3.619733001,1.25E-07,7.67E-06
HSPA1B,-3.619733001,1.25E-07,7.67E-06
HSPA1B,-3.619733001,1.25E-07,7.67E-06
FHDC1,5.417030234,1.26E-07,7.70E-06
SIGLEC8,-5.532427169,1.27E-07,7.73E-06
PLEKHN1,9.063945358,1.28E-07,7.78E-06
ARL6IP5,-2.557199898,1.36E-07,8.19E-06
ISM2,9.304534595,1.36E-07,8.19E-06
ITGB2,-4.51180535,1.37E-07,8.22E-06
TREM2,-7.154790173,1.39E-07,8.31E-06
CSNK1E,2.44948751,1.42E-07,8.50E-06
VKORC1L1,4.874387214,1.43E-07,8.50E-06
ESPL1,6.235479347,1.45E-07,8.59E-06
PTMS,2.939320837,1.49E-07,8.79E-06
IL10RA,-3.286262721,1.49E-07,8.79E-06
BEND4,9.370734298,1.52E-07,8.91E-06
GSPT1,4.81953026,1.60E-07,9.35E-06
PLEKHG4B,7.939751053,1.62E-07,9.44E-06
IL17RC,3.89831385,1.63E-07,9.47E-06
HHIPL1,3.581835172,1.64E-07,9.48E-06
CD300A,-3.881656802,1.64E-07,9.48E-06
NCKAP1L,-2.789660244,1.65E-07,9.50E-06
CDH24,3.714169269,1.69E-07,9.68E-06
SHH,7.861824769,1.72E-07,9.83E-06
IGDCC4,7.32747971,1.72E-07,9.83E-06
BMPER,6.126500337,1.74E-07,9.92E-06
TOP2A,4.550079211,1.75E-07,9.95E-06
CCDC9B,2.734787433,1.80E-07,1.02E-05
CTRB1,7.406859468,1.80E-07,1.02E-05
CTRB1,7.406859468,1.80E-07,1.02E-05
FER1L5,6.192460459,1.81E-07,1.02E-05
EXOC3,4.706895675,1.83E-07,1.03E-05
HCN2,4.351198857,1.88E-07,1.05E-05
NTN3,7.601249628,1.97E-07,1.10E-05
TRPM1,9.577928821,2.10E-07,1.17E-05
TRPM1,9.577928821,2.10E-07,1.17E-05
ITM2B,-2.722856246,2.13E-07,1.18E-05
GPR87,9.692025691,2.16E-07,1.19E-05
NR5A1,6.551451748,2.17E-07,1.19E-05
SNORD8,-5.033523103,2.20E-07,1.21E-05
H19,9.028923858,2.28E-07,1.25E-05
H19,9.028923858,2.28E-07,1.25E-05
LINC01101,7.812902221,2.32E-07,1.26E-05
BICDL2,6.93733963,2.32E-07,1.26E-05
IQGAP3,4.405861307,2.35E-07,1.27E-05
KHDC1,6.578653791,2.37E-07,1.28E-05
IBSP,7.405940143,2.41E-07,1.30E-05
GBX1,14.47795827,2.42E-07,1.30E-05
ADGRG4,9.418573389,2.47E-07,1.32E-05
TNC,4.167904099,2.56E-07,1.36E-05
BLK,8.440414794,2.56E-07,1.36E-05
BLK,8.440414794,2.56E-07,1.36E-05
SDC1,6.720516075,2.56E-07,1.36E-05
EFNA2,9.394717616,2.62E-07,1.39E-05
HRH4,9.651398945,2.66E-07,1.40E-05
ADRB2,-4.227975791,2.75E-07,1.45E-05
HOXA10-AS,10.02569184,2.75E-07,1.45E-05
LINC02145,7.788002435,2.84E-07,1.49E-05
FOXE3,8.942018628,2.88E-07,1.50E-05
FAP,6.237961219,2.89E-07,1.50E-05
LIPA,-3.108324679,2.99E-07,1.55E-05
NA,4.025745077,3.17E-07,1.64E-05
FAM205A,8.938896513,3.17E-07,1.64E-05
AR,5.268412861,3.19E-07,1.64E-05
ATP4B,9.071702513,3.19E-07,1.64E-05
ATP4B,9.071702513,3.19E-07,1.64E-05
LINC00290,10.54648367,3.20E-07,1.64E-05
TSEN2,3.343143856,3.28E-07,1.68E-05
GRM2,6.651873209,3.40E-07,1.73E-05
NPAP1,9.792634989,3.42E-07,1.74E-05
CCR1,-4.971774101,3.50E-07,1.77E-05
SPATA46,7.500015749,3.56E-07,1.80E-05
PLAC4,3.583266809,3.65E-07,1.84E-05
SVOPL,9.716085619,3.70E-07,1.86E-05
ABL2,2.895167233,3.72E-07,1.87E-05
IDO1,10.31299411,3.73E-07,1.87E-05
TBXT,11.07375329,3.77E-07,1.88E-05
BARHL2,7.983938271,3.78E-07,1.88E-05
RHPN1,4.932235965,3.79E-07,1.88E-05
USP7,3.621543236,3.79E-07,1.88E-05
ADRA1B,5.266938312,3.91E-07,1.93E-05
CHD7,4.027349995,3.92E-07,1.93E-05
TBCD,2.29751751,3.92E-07,1.93E-05
TBCD,2.29751751,3.92E-07,1.93E-05
TAB2,-2.582899329,4.02E-07,1.97E-05
TAB2,-2.582899329,4.02E-07,1.97E-05
HOXD3,9.651481199,4.04E-07,1.97E-05
SLC13A3,5.70086053,4.06E-07,1.98E-05
P2RY13,-6.094647141,4.15E-07,2.02E-05
CBLC,7.295218054,4.17E-07,2.02E-05
ADIRF,-4.721037812,4.36E-07,2.10E-05
PLA2G4F,8.507640601,4.36E-07,2.10E-05
NRAP,9.565588847,4.37E-07,2.10E-05
SKOR2,3.815014002,4.46E-07,2.14E-05
DACH2,6.810346114,4.61E-07,2.20E-05
ASIC5,7.597834219,4.83E-07,2.30E-05
ASIC5,7.597834219,4.83E-07,2.30E-05
ARHGEF7,1.961961287,4.86E-07,2.31E-05
DUSP13,6.400277704,4.88E-07,2.31E-05
LOC442132,9.073284869,5.03E-07,2.38E-05
ITGAM,-4.253671801,5.20E-07,2.45E-05
ITGA8,4.125866499,5.65E-07,2.65E-05
DGKK,10.12475914,5.66E-07,2.65E-05
KRT13,9.632923484,5.66E-07,2.65E-05
CACNA1C,2.597048965,5.76E-07,2.69E-05
CACNA1C,2.597048965,5.76E-07,2.69E-05
MIR4449,4.831284942,5.91E-07,2.75E-05
COL18A1-AS1,4.532963633,6.02E-07,2.80E-05
LCP1,-3.306069641,6.06E-07,2.81E-05
LRRC4,-3.914552538,6.08E-07,2.81E-05
LOC339975,7.766856549,6.27E-07,2.89E-05
PILRA,-6.266178103,6.28E-07,2.89E-05
MCHR1,8.412103481,6.30E-07,2.89E-05
SLCO1A2,-5.7904743,6.38E-07,2.92E-05
ACTA1,8.671799721,6.58E-07,3.01E-05
PCBP3-AS1,9.11280628,6.62E-07,3.01E-05
SBF1P1,6.226708115,6.63E-07,3.01E-05
EDAR,10.0992835,6.80E-07,3.08E-05
FOLR2,-4.181621604,7.13E-07,3.22E-05
CPA4,7.786553135,7.14E-07,3.22E-05
GDPD5,3.24072037,7.28E-07,3.27E-05
DPYSL2,-2.001377586,7.31E-07,3.28E-05
TFAP2B,8.136667738,7.41E-07,3.31E-05
SYTL1,4.880193732,7.42E-07,3.31E-05
FYB1,-3.225806436,7.66E-07,3.41E-05
SOCS6,-2.700404537,7.66E-07,3.41E-05
NR2F2,2.542835226,7.74E-07,3.43E-05
CEP72-DT,9.016200711,7.86E-07,3.48E-05
PRSS56,7.793926058,8.54E-07,3.77E-05
ADAMTS2,4.69624545,8.56E-07,3.77E-05
ADAMTS2,4.69624545,8.56E-07,3.77E-05
CDKN2A,3.778981792,8.58E-07,3.77E-05
B3GNT6,10.43361135,8.75E-07,3.83E-05
LBX1,8.666725386,8.77E-07,3.83E-05
MUC5B,4.705990782,8.93E-07,3.89E-05
TMC2,8.907892378,8.93E-07,3.89E-05
PNRC1,-2.12442235,9.00E-07,3.90E-05
LINC02891,6.460840344,9.00E-07,3.90E-05
SYT2,6.674445672,9.02E-07,3.90E-05
RNF128,7.946624567,9.25E-07,3.99E-05
PABPN1,2.744706184,9.37E-07,4.03E-05
FGF11,5.668615718,9.79E-07,4.20E-05
FGF11,5.668615718,9.79E-07,4.20E-05
LST1,-4.67258788,9.82E-07,4.20E-05
LST1,-4.67258788,9.82E-07,4.20E-05
LST1,-4.67258788,9.82E-07,4.20E-05
LST1,-4.67258788,9.82E-07,4.20E-05
LST1,-4.67258788,9.82E-07,4.20E-05
LST1,-4.67258788,9.82E-07,4.20E-05
LST1,-4.67258788,9.82E-07,4.20E-05
LST1,-4.67258788,9.82E-07,4.20E-05
LOC284950,8.788174559,9.89E-07,4.22E-05
COL1A1,4.524710409,1.02E-06,4.35E-05
MAMDC4,3.051383295,1.04E-06,4.41E-05
PRNP,-3.056906599,1.04E-06,4.41E-05
CCDC150,4.387877172,1.05E-06,4.46E-05
BMP3,8.06446092,1.06E-06,4.46E-05
RD3,6.797518302,1.09E-06,4.61E-05
BMP5,7.625512635,1.13E-06,4.74E-05
DNAJB1,-3.734498724,1.13E-06,4.74E-05
PTPRH,8.477290227,1.13E-06,4.74E-05
SVIL,1.752353321,1.14E-06,4.75E-05
PROSER2,5.085539315,1.16E-06,4.81E-05
SOX4,2.827920304,1.16E-06,4.82E-05
PKD1L1,4.597853373,1.17E-06,4.85E-05
CLDN3,6.82466585,1.18E-06,4.86E-05
LOC730668,7.047809377,1.19E-06,4.91E-05
LRRC26,9.35935005,1.19E-06,4.92E-05
RFLNB,3.644119484,1.21E-06,4.97E-05
RFLNB,3.644119484,1.21E-06,4.97E-05
MSI1,4.053160244,1.21E-06,4.97E-05
MIR663B,3.14305391,1.23E-06,5.03E-05
LINC00261,8.863595671,1.25E-06,5.10E-05
TMBIM6,-3.147820964,1.26E-06,5.14E-05
PITPNC1,2.428328882,1.27E-06,5.15E-05
MZB1,7.874031397,1.28E-06,5.15E-05
BTBD2,5.373634272,1.28E-06,5.15E-05
EVX1,9.182411215,1.28E-06,5.15E-05
TNFRSF18,8.646195186,1.28E-06,5.16E-05
ADRA1D,5.518419718,1.29E-06,5.20E-05
LRRIQ4,9.561242872,1.31E-06,5.25E-05
ZGLP1,5.711474859,1.33E-06,5.33E-05
SAXO1,6.189826637,1.34E-06,5.33E-05
ALOX5AP,-3.629133861,1.36E-06,5.41E-05
MPEG1,-4.457068492,1.38E-06,5.47E-05
SYT3,4.579258968,1.38E-06,5.49E-05
PRND,10.18383245,1.39E-06,5.52E-05
SPTA1,7.16245383,1.40E-06,5.54E-05
CNGA4,8.290166414,1.41E-06,5.54E-05
B4GALNT3,6.345224429,1.42E-06,5.57E-05
NEFM,5.877753045,1.42E-06,5.58E-05
CABP5,7.666579583,1.43E-06,5.60E-05
LINC01312,9.272631597,1.44E-06,5.60E-05
SUSD3,-6.837205926,1.44E-06,5.60E-05
SAMD14,3.540045774,1.47E-06,5.71E-05
UNC93B1,-3.179738993,1.48E-06,5.75E-05
ATP12A,5.503832568,1.53E-06,5.92E-05
HSPA6,-4.736353015,1.57E-06,6.09E-05
CLEC3B,-3.268107915,1.59E-06,6.15E-05
CHD3,3.490209268,1.60E-06,6.15E-05
MAP2K2,2.253351982,1.60E-06,6.17E-05
TBX20,8.136173133,1.63E-06,6.23E-05
ANKRD30BL,3.045320962,1.63E-06,6.23E-05
KIF20A,6.053861818,1.63E-06,6.23E-05
H2AX,3.189352021,1.64E-06,6.23E-05
DNAH8,7.156629464,1.64E-06,6.25E-05
NRK,9.381328304,1.66E-06,6.30E-05
